name,address,latitude,longitude,games,cabs,game_counts,source
AMUSE,"16 WITCOMBE STREET, ADELAIDE, SA5000",-34.9299206,138.5947976,chunithm;gitadora;jubeat;maimai_dx;sdvx,,,allnet;ziv
ARCHIE BROTHERS CCW,"285 Springvale Road, Glen Waverley, Victoria, Australia, 3150",-37.8812875,145.1647251,ddr;maimai_dx;other;taiko,,,allnet;ziv
ARCHIE BROTHERS QV,"45 Little Londsdale Street, Melbourne, Victoria, 3000",-37.8093821,144.9712286,maimai_dx,,,allnet
B.LUCKY&SONS MELBOURNE,"Level 3, 211 Latrobe St., Melrourne, Vic,3000",-37.8105556,144.9630556,ddr;maimai_dx;other;sdvx;taiko,,maimai_dx:1;sdvx:1,allnet;ziv
ENTERTAINMENT PARK,361 Milperra Rd Bankstown NSW 2200,-33.9294993,150.9905704,maimai_dx;other;stepmaniax;taiko,,,allnet;ziv
FORTRESS MELBOURNE,"23 CALEDONIAN LANE, MELBOURNE, VICTORIA, AUSTRALIA 3000",-37.8121261,144.9640502,ddr;maimai_dx;other;taiko,,maimai_dx:1,allnet;ziv
FUNHOUSE BRISBANE CITY,"Level 3/91 Queen St, Brisbane City QLD 4000",-27.4706058,153.0248758,ddr;maimai_dx;other;taiko,,ddr:1;maimai_dx:1;taiko:2,allnet;ziv
FUNHOUSE SUNNYBANK,"Corner Mains & McCullough Roads, Sunnybank QLD 4109",,,maimai_dx,,,allnet
IPLAY CAROUSEL,"SHOP MM223, 1382 ALBANY HWY, CANNINGTON, WA AUSTRALIA  6107",-32.0199279,115.9388969,ddr;maimai_dx;taiko,,,allnet;ziv
IPLAY WETHERILL PARK,"561/583 Polding St, Wetherill Park NSW 2164",-33.8593157,150.8978985,other;taiko,,,allnet;ziv
KINGPIN CANBERRA,"Canberra Centre Bunda Street,Canberra City ACT 2608",-35.2802271,149.1332559,drs;maimai_dx;other;taiko,,,allnet;ziv
KINGPIN MELBOURNE,"260 Collins St, MELBOURNE VIC 3000",-37.8152725,144.9650986,chunithm;ddr;drs;maimai_dx;other;taiko,,chunithm:2;ddr:1;drs:1;maimai_dx:1;taiko:1,allnet;ziv
KINGPIN NORTH STRATHFIELD,"Building H3/3-5 George St, North Strathfield NSW 2137",-33.8632365,151.0889051,ddr;maimai_dx;other;taiko,,,allnet;ziv
KINGPIN(CHERMSIDE),"Westfield Chermside,Corner Gympie & HamiltonRd,Chermside QLD4032",-27.3826351,153.0325653,maimai_dx,,,allnet
KINGPIN(CROWN),"Malbourne,CrownEntertainmentComplex,WhitemanSt,Southbank,VIC3006",-37.8290000,144.9570000,chunithm;ddr;maimai_dx;other;sdvx;taiko,,chunithm:2;ddr:1;maimai_dx:2;sdvx:1;taiko:1,allnet;ziv
KOKO AMESEMENT HORNSBY,Shop 4000-1/236 Pacific Hwy Horsby NSW 2077,-33.7043415,151.1006823,ddr;maimai_dx;other;taiko,,,allnet;ziv
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:6;ddr:2;drs:3;gitadora:1;iidx:1;maimai_dx:6;popn:2;pump_it_up:2;sdvx:2;taiko:5,allnet;ziv
KOKO AMUSEMENT BURWOOD,"lot29 27-31 belmore St,.Burwood,2134,NSW",-33.8784196,151.1021580,chunithm;ddr;drs;maimai_dx;other;taiko,,chunithm:1;ddr:1;drs:1;maimai_dx:2;taiko:2,allnet;ziv
KOKO AMUSEMENTS DIXON,"Level 1 & 2/1 Dixon Street, Haymerket, Sydney",,,maimai_dx,,,allnet
KOKO HURSTVILLE,"G03/288 Forest Road, HurstvilleNSW",-33.9669703,151.1032215,ddr;drs;maimai_dx;other;taiko,,ddr:1;drs:1;maimai_dx:1;taiko:1,allnet;ziv
PARADIGM ZONE,"58 Gawler Place, Adelaide SA 5000",-34.9234290,138.6021461,chunithm;drs;iidx;maimai_dx;other;popn;sdvx;taiko,,chunithm:2;drs:1;iidx:1;maimai_dx:2;popn:2;sdvx:1;taiko:1,allnet;ziv
PLAYit,Shop 14-22 Southgate Shopping Centre3 Southgate Ave,,,maimai_dx,,,allnet
ROLLER ONE BURWOOD,"172-210 Burwood Hwy, Burwood East VIC 3151",-37.8530342,145.1493983,maimai_dx;other;taiko,,,allnet;ziv
TIMEZONE BANKSTOWN,"Bankstown Central Shopping Centre, Shop MM022 North Terrace",-33.9161378,151.0372093,maimai_dx,,,allnet
TIMEZONE BRAYBROOK,"Central West Shopping Centre 67Ashley St,Braybrook VIC",-33.8632365,151.0889051,chunithm,,,allnet
TIMEZONE CHATSWOOD,"Level6 Westfield Chatswood,1 Anderson Street,Chatswood,NSW 2067",-33.7973628,151.1831083,chunithm;ddr;maimai_dx;other;taiko,,chunithm:1;ddr:1;maimai_dx:2;taiko:1,allnet;ziv
TIMEZONE CRONULLA,"126-128 Cronulla St, Cronulla, 2230 NSW",-34.0552150,151.1521713,chunithm;other;taiko,,,allnet;ziv
TIMEZONE EASTGARDENS,"Westfield Shopping Centre, Bunnerong Rd, Eastgardens, NSW, 2036",-33.9448896,151.2243238,ddr;maimai_dx;other,,,allnet;ziv
TIMEZONE EASTLAND,"Shop MM12/13 Eastland Shopping Centre,171 -175 Maroondah Hwy",-37.8126592,145.2292803,ddr;maimai_dx;other;pump_it_up;taiko,,,allnet;ziv
TIMEZONE ERINA,"SHOP H09, Terrigal Dr, Erina NSW 2250",-33.4377981,151.3915100,chunithm;ddr;maimai_dx;other;taiko,,,allnet;ziv
TIMEZONE FREMANTLE,Shop 32-33 South Terrace PiazzaFremantle WA 6160,-32.0562381,115.7479566,ddr;maimai_dx;taiko,,,allnet;ziv
TIMEZONE INDOOROOPILLY,"Indooroopilly Shopping Centre 322 Moggill Rd, QLD 4068",-27.4994475,152.9723122,maimai_dx;other;pump_it_up;taiko,,maimai_dx:2;pump_it_up:1;taiko:1,allnet;ziv
TIMEZONE KNOX,"2 Brisbane Ln, Wantirna South Vic 3152",-37.8699923,145.2437459,chunithm;ddr;maimai_dx;other;taiko,,,allnet;ziv
TIMEZONE PARRAMATTA,"Shop 4070, Westfield Parramatta, 175 Church St., NSW 2150",-33.8173782,151.0016557,chunithm;ddr;maimai_dx;other;taiko,,chunithm:1;ddr:1;maimai_dx:2;taiko:1,allnet;ziv
TIMEZONE PRESTON,"Northland Shopping Centre,2-50 Murray Rd,Preston VIC 3072",-37.7389461,145.0299969,maimai_dx,,,allnet
TIMEZONE SURFERS PARADISE,"Level1 Paradise Centre,Cavilll Mall,Surfers Paradise QLD 4217",-28.0019530,153.4298183,ddr;maimai_dx;other;pump_it_up;taiko,,,allnet;ziv
TIMEZONE TREE TEA PLAZA,"Tea Tree Plaza, 976 North East Road, Modbury SA 5092",-34.8307178,138.6901334,chunithm;ddr;maimai_dx;other;taiko,,chunithm:2;ddr:1;maimai_dx:2;taiko:1,allnet;ziv
TIMEZONE WERRIBEE,Pacific Werribee Shopping Centre Heaths VIC 3029,-37.8769343,144.6804581,maimai_dx;other;pump_it_up;taiko,,,allnet;ziv
TIMEZONE WODEN,"Shop A3 Westfield Woden, KeltieSt, Phillip ACT 2606",-35.3462875,149.0860718,maimai_dx;other;taiko,,,allnet;ziv
TIMEZONE(CENTRAL),"Level 2, Central Park Mall, 28 Broadway, Chippendale,NSW2008",-33.8845810,151.2006823,chunithm;maimai_dx;other;pump_it_up;sdvx;taiko,,chunithm:1;maimai_dx:2;pump_it_up:1;sdvx:1;taiko:2,allnet;ziv
TIMEZONE(HAYMARKET),"Level 3 Market City, 9-13 Hay Street, Haymerket, Sydney, NSW2020",-33.8797944,151.2033833,chunithm;ddr;drs;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:2;ddr:2;drs:1;gitadora:2;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,allnet;ziv
TIMEZONE(HIGHPOINT),"Level 1 Highpoint SC,120-200Rosamond Rd,Maribyrnong,VIC3032",-37.7695602,144.8820803,chunithm;ddr;maimai_dx;other;sdvx;taiko,,,allnet;ziv
TIMEZONE(MACQUARIE),"MacquarieCentre,CornerofHerringRd&WaterlooRd,NorthRyde,NSW2113",-33.7763709,151.1200451,chunithm;maimai_dx,,,allnet
TIMEZONE(NORTHBRIDGE),"31 Lake Street, Northbridge, WA6003",-31.9475043,115.8567513,ddr;maimai_dx;other;pump_it_up;taiko,,ddr:1;maimai_dx:2;pump_it_up:1;taiko:1,allnet;ziv
VARSITY WATERFORD,"55/230 Manning Road, Karawara  Perth, WA",-32.0115880,115.8864490,chunithm;maimai_dx;stepmaniax,,,allnet;ziv
ZONE BOWLING SOUTHLAND,"Zone Bowling Southland SHOP 3049B, 1239 Nepean Highway 3192",-37.9584584,145.0510807,maimai_dx,,,allnet
ZONE BOWLING TOP RYDE,"GRD M5,Top Ryde City Shopping Centre,Blaxland Rd.&Devlin St.NSW",-33.8122148,151.1062214,chunithm;ddr;maimai_dx;other;taiko,,,allnet;ziv
ZONE BOWLING VILLAWOOD,"850a Woodvilla Road,Villawood NSW 2163",-33.8792943,150.9786698,maimai_dx;other;pump_it_up;taiko,,,allnet;ziv
ZONEBOWLING BLACKTOWN,"Shop 4011/17 Patrick st, Blacktown NSW 2148",-33.7699265,150.9061011,ddr;maimai_dx;other;taiko,,,allnet;ziv
ZONEBOWLING(GARDEN CITY),"Westfield Garden City, Kessels Rd, Upper Mount Gravatt QLD 4122",-27.5626135,153.0822254,chunithm;maimai_dx,,,allnet
CLAW PLANET,"563 boul des laurentides , laval quebec h7g2v3 canada",,,maimai_dx,,,allnet
PLAYDIUM VAUGHAN,"1 BASS PRO MILLS DR, CONCORD, ON L4K5W4",43.8243094,-79.5418631,maimai_dx;pump_it_up;stepmaniax;taiko,,,allnet;ziv
WATERLOO RHYTHM ARCADE,"140 University Ave W, Unit 2-5 Waterloo, On N2L6J3 Canada",,,maimai_dx;pump_it_up;wacca,,,allnet
168 GAME CENTRE,GIF YUE MAN SHOPPING CENTRE 300-302 NGAU TAU KOK RD. KWUN TONG,22.3143438,114.2226831,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:1;taiko:1,allnet;bemanicn
ELECTRONIC PLAZA,"G/F&COCKLOFT,130 FUK WA ST.,SHAM SHUI PO, KOWLOON",22.3314782,114.1625952,maimai_dx;other,,maimai_dx:1,allnet;bemanicn;ziv
GAMEZONE(KWUN TONG PLAZA),"1/F,KWUN TONG PLAZA,68HOI YUEN ROAD, KWUNTONG, KOWLOON",22.3111759,114.2260190,chunithm;maimai_dx;other;taiko,,chunithm:2;maimai_dx:6;taiko:2,allnet;bemanicn;ziv
GAMEZONE(MONG KOK),"BF., ARGYLE CENTRE PHASE I,65 ARGYLE ST, MONGKOK, KOWLOON",22.3195200,114.1714770,chunithm;dance_evo;gitadora;groove_coaster;jubeat;maimai_dx;other;project_diva;taiko;wacca,,chunithm:4;dance_evo:1;gitadora:2;groove_coaster:1;jubeat:1;maimai_dx:22;project_diva:2;taiko:4;wacca:3,allnet;bemanicn;ziv
GOLD STAR(NATHAN ROAD),"B,WING WONG BLDG., 557-559NATHAN RD., YAU MA TEI, KOWLOON",22.3141685,114.1701932,jubeat;maimai_dx;taiko,,jubeat:2;maimai_dx:1;taiko:1,allnet;bemanicn
GOLD STAR(TSUEN WAN),"3F,E WING, NAN FUNG CENTRE, 264-298CASTLE PEAK RD.,TSUEN WAN N.T",22.3738490,114.1163481,chunithm;gitadora;groove_coaster;jubeat;maimai_dx;other;project_diva;taiko;wacca,,chunithm:2;gitadora:1;groove_coaster:1;jubeat:2;maimai_dx:14;project_diva:1;taiko:2;wacca:4,allnet;bemanicn;ziv
GOLDEN ERA GAME CENTRE,"2/F, GOLDEN ERA PLAZA, 39SAI YEE STREET, MONGKOK, KOWLOON",22.3183610,114.1717300,chunithm;ddr;groove_coaster;iidx;jubeat;maimai_dx;other;popn;sdvx;taiko;wacca,,chunithm:5;ddr:1;groove_coaster:1;iidx:1;jubeat:4;maimai_dx:6;popn:1;sdvx:1;taiko:2;wacca:1,allnet;bemanicn;ziv
HOLLYWOOD GAME ZONE,"383, LEVEL 3, PLAZA HOLLYWOODDIAMOND HILL, KOWLOON,",22.3407058,114.2021096,chunithm;gitadora;jubeat;maimai_dx;other;project_diva;taiko;wacca,,chunithm:4;gitadora:2;jubeat:1;maimai_dx:12;project_diva:1;taiko:3;wacca:1,allnet;bemanicn;ziv
HUNG MIN GAME CENTRE,"G/F., 11-13 Hung Min Court, Yuen Long, N.T. (YLFL152)",22.4423760,114.0296046,maimai_dx,,maimai_dx:2,allnet;bemanicn
IGAME(TAI PO),"B,TAI PO SPORTS ASSOCIATION 2ON CHEUNG RD.,TAI PO,N.T",22.4537096,114.1672688,chunithm;maimai_dx;taiko,,chunithm:1;maimai_dx:1;taiko:2,allnet;bemanicn
INTERNATIONAL GAMES CENTRE,"SHOP A15 39,40&41G/F,TAI ON BLDG57-87SHAU KEI WAN RD,SAI WAN HO",22.2828744,114.2220290,maimai_dx;other,,maimai_dx:4,allnet;bemanicn
JUMBO GAME,"BASEMENT, 82 OLD MAIN STREET,ABERDEEN, HONG KONG,",22.2483641,114.1562442,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:1;taiko:1,allnet;bemanicn
LUCKY GAME CENTRE,"G/F HONG SHUN BLDG., 166 WOOSUNG ST.,YAU MA TEI ,KOWLOON.",22.3038497,114.1702549,maimai_dx,,,allnet
PIK FU GAME CENTRE,"SHOP LG1,26-30 WO YI HOP ROAD, KWAI CHUNG,N.T",22.3658113,114.1371543,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,allnet;bemanicn
POWER CITY(TIN SHUI WAI),"G68-72 G/F,PHASE 1 KINGSWOOD GINZA, TIN SHUI WAI, N.T.",22.4569941,114.0046892,chunithm;iidx;jubeat;maimai_dx;other;sdvx;taiko;wacca,,chunithm:2;iidx:1;jubeat:2;maimai_dx:5;sdvx:2;taiko:1;wacca:1,allnet;bemanicn;ziv
RETROCITY CONCEPT,"UNIT NO.23  LG/F,HOUSTON CENTRE,NO.63 MODY DOAD,KLN. HKG",22.2987528,114.1769922,maimai_dx,,maimai_dx:2,allnet;bemanicn
SALEM GAME CENTRE,"C2 G/F.,FUN CITY, 7LEK YUEN ST.,SHA TIN ,NT.",22.3841358,114.1923047,chunithm;gitadora;jubeat;maimai_dx;other;taiko,,chunithm:2;gitadora:2;jubeat:2;maimai_dx:2;taiko:1,allnet;bemanicn;ziv
SATURNEY MUSIC HOUSE,"503a, 18 Centre St, Sai Ying Pun, Hong Kong",22.2875521,114.1421936,maimai_dx,,,allnet
SILVERCORD AMUSEMENT ＆ GAMES,"SHOP B03 BASEMENT, SILVERCORD30CANTON RD, T.S.T, KOWLOON",22.2977762,114.1695193,gitadora;iidx;jubeat;maimai_dx;other;popn;sdvx;taiko;wacca,,gitadora:2;iidx:1;jubeat:4;maimai_dx:3;popn:1;sdvx:2;taiko:2;wacca:1,allnet;bemanicn;ziv
SMART GAME(WAN CHAI),"G/F,GREAT SMART TOWER,NO.230 WAN CHAI ROAD,HONG KONG",22.2780890,114.1789090,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,allnet;bemanicn
SUPER KING GAME CENTRE,"B/F,WEST COAST BLDG, 290-296UN CHAU ST.,CHEUNG SHA WAN,KW",22.3356793,114.1591221,chunithm;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;other;sdvx;taiko,,chunithm:4;drs:1;gitadora:4;iidx:1;jubeat:2;maimai_dx:7;nostalgia:2;sdvx:3;taiko:2,allnet;bemanicn;ziv
TIN TIN GAME CENTRE(TUEN MUN),"SHOP B, G/F., SAI BO BUILDING, 5 TSING PAK PATH, TUEN MUN, NT",22.4016026,113.9781571,jubeat;maimai_dx;other;taiko,,jubeat:2;maimai_dx:1;taiko:1,allnet;bemanicn;ziv
COW PLAY COW MOO CARSTENSZ MALL,Jalan jend sudirman no1. Cihuni. Kec pagedangan,-6.2697615,106.6304198,chunithm;ddr;drs;gitadora;iidx;maimai_dx;nostalgia;other;pump_it_up;sdvx,,chunithm:4;ddr:1;drs:1;gitadora:2;iidx:1;maimai_dx:4;nostalgia:2;pump_it_up:2;sdvx:2,allnet;ziv
CPCM ELYSEE,"LOT 21, JL. SCBD NO. KAV 52-53,KOTA JAKARTA SELATAN",-6.2243508,106.8094982,chunithm;maimai_dx,,,allnet
CPCM INDONESIA DESIGN DISTRICT,"Jalan M.H. Thamrin., SalembaranJaya, Kosambi,15214",-6.0676077,106.6967904,maimai_dx,,,allnet
CPCM LIPPO MALL NUSANTARA,"Jl. Jend. Sudirman Kav. 50, Karet Semanggi, Setiabudi",-6.2201667,106.8143752,chunithm;iidx;maimai_dx;pump_it_up;sdvx,,chunithm:4;iidx:1;maimai_dx:3;pump_it_up:1;sdvx:2,allnet;ziv
CPCM MALL OF INDONESIA,"Jl.Boulevard Bar.Raya No.12,RT.18/RW.19,Klp.Gading Bar.,Kec.Klp.",-6.1536930,106.8930360,chunithm;maimai_dx,,,allnet
CPCM PIK,"Jl.Pantai Indah Kapuk,Kamal Muara,Kec.Penjaringan,Jakarta Utara",-6.1026441,106.7411622,maimai_dx,,,allnet
