name,address,latitude,longitude,games,cabs,game_counts,source
AMUSE,"16 WITCOMBE STREET, ADELAIDE, SA5000",-34.9299206,138.5947976,chunithm;gitadora;jubeat;maimai_dx;sdvx,,,allnet;ziv
Archie Brothers Cirque Electriq QV Melbourne,"Level 3 QV Shopping Centre 222 Lonsdale Street Melbourne VIC, 3000, Melbourne",-37.8107947,144.9652084,ddr;maimai_dx;other;sdvx;taiko,,ddr:1;maimai_dx:2;sdvx:1;taiko:1,ziv
B.LUCKY&SONS MELBOURNE,"Level 3, 211 Latrobe St., Melrourne, Vic,3000",-37.8105556,144.9630556,ddr;maimai_dx;other;sdvx;taiko,,maimai_dx:1;sdvx:1,allnet;ziv
KINGPIN(CROWN),"Malbourne,CrownEntertainmentComplex,WhitemanSt,Southbank,VIC3006",-37.8290000,144.9570000,chunithm;ddr;maimai_dx;other;sdvx;taiko,,chunithm:2;ddr:1;maimai_dx:2;sdvx:1;taiko:1,allnet;ziv
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:6;ddr:2;drs:3;gitadora:1;iidx:1;maimai_dx:6;popn:2;pump_it_up:2;sdvx:2;taiko:5,allnet;ziv
KOKO Amusement City Heroes,"505 George Street Shop 6 Sydney New South Wales, 2000, Sydney",-33.8750989,151.2062354,crossbeats;jubeat;maimai_dx;other;popn;project_diva;sdvx;stepmaniax;taiko;wacca,,crossbeats:1;jubeat:2;popn:1;project_diva:1;sdvx:1;taiko:1;wacca:1,ziv
PARADIGM ZONE,"58 Gawler Place, Adelaide SA 5000",-34.9234290,138.6021461,chunithm;drs;iidx;maimai_dx;other;popn;sdvx;taiko,,chunithm:2;drs:1;iidx:1;maimai_dx:2;popn:2;sdvx:1;taiko:1,allnet;ziv
PLAYit Melbourne,"Shop M14-22 Southgate Centre 3 Southgate Ave Southbank VIC, 3006, Southbank",-37.8204358,144.9659247,maimai_dx;other;sdvx,,,ziv
Timezone Garden City,"Level 2, Westfield Garden City Upper Mount Gravatt Queensland, 4122, Upper Mount Gravatt",-27.5625104,153.0800495,chunithm;ddr;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:1;ddr:2;gitadora:1;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,ziv
TIMEZONE(CENTRAL),"Level 2, Central Park Mall, 28 Broadway, Chippendale,NSW2008",-33.8845810,151.2006823,chunithm;maimai_dx;other;pump_it_up;sdvx;taiko,,chunithm:1;maimai_dx:2;pump_it_up:1;sdvx:1;taiko:2,allnet;ziv
TIMEZONE(HAYMARKET),"Level 3 Market City, 9-13 Hay Street, Haymerket, Sydney, NSW2020",-33.8797944,151.2033833,chunithm;ddr;drs;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:2;ddr:2;drs:1;gitadora:2;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,allnet;ziv
TIMEZONE(HIGHPOINT),"Level 1 Highpoint SC,120-200Rosamond Rd,Maribyrnong,VIC3032",-37.7695602,144.8820803,chunithm;ddr;maimai_dx;other;sdvx;taiko,,,allnet;ziv
Varsity Nedlands,"88 Broadway Crawley Western Australia, 6009, Crawley",-31.9841525,115.8151567,sdvx,,,ziv
FlippArena Vöcklabruck,"5 Vornbuch Vöcklabruck Oberösterreich, 4840, Vöcklabruck",48.0067710,13.6869269,museca;other;sdvx;stepmaniax,,,ziv
Arcade Mile-X Arcade,"020-6560 Avenue de l'Esplanade Montréal Québec, H2V 4L5, Montréal",45.5286973,-73.6127665,other;sdvx,,,ziv
ARCstage,"10612 124 ST NW Unit 100 Edmonton Alberta, T5N 1S4, Edmonton",53.5497312,-113.5361830,chunithm;ddr;iidx;jubeat;maimai_dx;other;project_diva;pump_it_up;sdvx;taiko;wacca,,chunithm:2;ddr:1;iidx:1;jubeat:1;project_diva:1;pump_it_up:1;sdvx:1;taiko:1;wacca:1,ziv
CHQ Entertainment,"4800 Kingsway Burnaby British Columbia, V5H 4N2, Burnaby",49.2272058,-122.9994267,chunithm;drs;groove_coaster;maimai_dx;ongeki;other;pump_it_up;sdvx;taiko;wacca,,chunithm:4;drs:1;groove_coaster:1;ongeki:1;pump_it_up:1;sdvx:1;taiko:1;wacca:2,ziv
Claw Planet/Planète Claw,"563 Boulevard des Laurentides Laval Québec, H7G2V3, Laval",45.5718827,-73.6935639,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;project_diva;pump_it_up;sdvx;wacca,,chunithm:1;ddr:1;drs:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:2;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;wacca:1,ziv
eSpot,"8181 Cambie Road Unit 1000 Richmond British Columbia, V6X 3X9, Richmond",49.1853728,-123.1336526,chunithm;ddr;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;project_diva;sdvx;taiko;wacca,,chunithm:3;ddr:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:2;taiko:2;wacca:1,ziv
Quazar's Arcade,"1215 Government Street Victoria British Columbia, V8W 1Y5, Victoria",48.4258894,-123.3674384,chunithm;ddr;other;sdvx;wacca,,chunithm:2;ddr:1;sdvx:1;wacca:2,ziv
RetroMTL,"4023 Rue Hochelaga Montréal Québec, H1W 1K4, Montréal",45.5520259,-73.5486976,other;sdvx,,,ziv
Portal Friki,"269 Manuel Antonio Matta La Serena Coquimbo, 1710086, La Serena",-29.9003913,-71.2525178,ddr;iidx;jubeat;other;project_diva;pump_it_up;reflec;sdvx;taiko,,ddr:2;iidx:1;jubeat:2;project_diva:1;pump_it_up:3;reflec:1;sdvx:1;taiko:1,ziv
CLUBPLAY（振华广场店）,锡林郭勒北路29号振华广场7楼,40.8167648,111.6611445,other;sdvx;taiko,,sdvx:2;taiko:1,bemanicn;ziv
