name,address,latitude,longitude,games,cabs,source
AMFマーズ,横浜市中区長者町6-106,35.4428479,139.6311041,gitadora;iidx;jubeat;nostalgia;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,eagate
Amusement&Game MAGHREB,多摩市落合1-39-2マグレブビル1F,35.6240240,139.4231960,gitadora;iidx;jubeat;polaris_chord;popn;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,eagate
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７イオンモール専門店街３階,34.7260080,135.7505666,chunithm;ddr;iidx;maimai_dx;sdvx,sdvx_vm,allnet;eagate
ASO:VIBA!,渋谷区恵比寿1-10-5,35.6467707,139.7109583,iidx;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,eagate
BOX.Q3,名古屋市中村区則武1-16-8第一Uコーポ1F,35.1731010,136.8766030,iidx;popn,iidx_lm,eagate;ziv
G-stage浜町,長崎県長崎市浜町2-26,32.7448472,129.8775421,chunithm;gitadora;iidx;maimai_dx;ongeki;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
GAMESPOT VERSUS,荒川区西日暮里5-15-10,35.7319100,139.7680400,iidx;sdvx,iidx_lm;sdvx_vm,eagate
GiGOアルパーク北棟,広島市西区草津南4-7-1アルパーク北棟2F,34.3763029,132.3950257,drs;gitadora;iidx;jubeat;nostalgia;polaris_chord;sdvx,iidx_lm;sdvx_vm,eagate
GiGOイオン仙台中山,仙台市泉区南中山1-35-57イオン仙台中山店別館3F,38.2990610,140.8284970,ddr;iidx;sdvx,ddr_gold;iidx_lm;sdvx_vm,eagate
GiGOフジモール吹上,鴻巣市袋90-1フジモール吹上,36.0963060,139.4658445,gitadora;iidx;polaris_chord;sdvx,iidx_lm;sdvx_vm,eagate
M's PARK刈谷店,愛知県刈谷市稲場町３−２０６,35.0054807,137.0014037,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;ongeki;other;popn;sdvx;taiko,ddr_gold;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate;ziv
M'Sパーク豊田店,豊田市寿町3-10-11,35.0565113,137.1404324,ddr;gitadora;iidx;jubeat;nostalgia;popn;reflec;sdvx,ddr_gold;iidx_lm;popn_pikapika;sdvx_vm,eagate
PEP魚町,北九州市小倉北区魚町2-4-20,33.8839655,130.8800260,ddr;gitadora;iidx;jubeat;nostalgia;popn;reflec;sdvx,iidx_lm;sdvx_vm,eagate
あそVIVA本店,福知山市字堀小字上高田2146-1あそVIVA1F,35.2897191,135.1348229,iidx;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,eagate
あそＶＩＶＡ阪急茨木店,大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ,34.8179736,135.5763883,chunithm;ddr;gitadora;iidx;maimai_dx;nostalgia;ongeki;polaris_chord;popn;sdvx,ddr_gold;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
えの木 高松店,香川県高松市藤塚町３丁目３−３,34.3358800,134.0537325,ddr;gitadora;iidx;jubeat;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
ゆりの木ボウル,青森県八戸市鷹匠小路１０,40.5066344,141.4932406,gitadora;iidx;maimai_dx;popn;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アップルグランリバー大井川店,静岡県焼津市下江留１３２７,34.8097010,138.2733246,chunithm;ddr;gitadora;iidx;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アップル島田店,静岡県島田市宝来町8-5,34.8266008,138.1874106,chunithm;gitadora;iidx;sdvx,gitadora_dm_arena;iidx_lm;sdvx_vm,allnet;eagate
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4,34.9982997,138.4134498,chunithm;ddr;gitadora;iidx;maimai_dx;ongeki;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;iidx_lm;sdvx_vm,allnet;eagate
アドアーズ上野アメ横,東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１〜４階,35.7100380,139.7742682,chunithm;gitadora;iidx;jubeat;ongeki;other;popn;sdvx;taiko,iidx_lm;sdvx_vm,allnet;eagate;ziv
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５,35.7091924,139.6656938,chunithm;iidx;maimai_dx;polaris_chord;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アドアーズ亀戸店,東京都江東区亀戸５−２−６サンエービル１〜５階,35.6989635,139.8259037,chunithm;iidx;maimai_dx;popn;sdvx,popn_pikapika;sdvx_vm,allnet;eagate
アドアーズ仙川,東京都調布市仙川町２−２１−１２　ＶＩＣビル７,35.6624923,139.5840936,chunithm;iidx;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アドアーズ大和店Ａ館,神奈川県大和市大和東１−４−３大黒屋ビル１、２階,35.4705555,139.4623450,chunithm;iidx;maimai_dx;sdvx,sdvx_vm,allnet;eagate
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル,35.7162968,139.8582264,chunithm;iidx;maimai_dx;ongeki;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アドアーズ横須賀,神奈川県横須賀市本町３−２７横須賀ＡＰＴ１階,35.2806953,139.6622793,chunithm;iidx;maimai_dx;sdvx,sdvx_vm,allnet;eagate
アドアーズ橋本,神奈川県相模原市緑区橋本３−３−１ＳＩＮＧビル２Ｆ,35.5945224,139.3488614,chunithm;gitadora;iidx;maimai_dx;sdvx,gitadora_dm_arena;gitadora_gf_arena;sdvx_vm,allnet;eagate
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ,35.7005813,139.9844903,chunithm;iidx;maimai_dx;nostalgia;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階,35.8278164,139.6915592,chunithm;iidx;maimai_dx;ongeki;popn;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ上尾店,上尾市緑丘3-3-11-2プリンセス棟別棟,35.9871910,139.5798770,gitadora;iidx;jubeat;nostalgia;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,eagate
アピナ上田店,長野県上田市秋和３５９−１,36.4159917,138.2235105,chunithm;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ下館店,筑西市玉戸1012-3,36.2932539,139.9440750,gitadora;iidx;jubeat;nostalgia;polaris_chord;sdvx,iidx_lm;sdvx_vm,eagate
アピナ伊那店,長野県伊那市大字西町５０９３,35.8328702,137.9499861,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;project_diva,iidx_lm,allnet;eagate
アピナ佐久インター店,長野県佐久市岩村田北１−１３−１,36.2844797,138.4823375,chunithm;drs;gitadora;iidx;jubeat;maimai_dx;ongeki;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ,35.6306170,139.3292720,chunithm;gitadora;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ印西店,印西市原1-2ビッグホップガーデンモール印西2F,35.8030090,140.1624960,iidx;jubeat;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,eagate
アピナ各務原店,岐阜県各務原市蘇原花園町２丁目９番地１,35.4120854,136.8480680,chunithm;maimai_dx;ongeki;sdvx,sdvx_vm,allnet;eagate
アピナ名古屋栄店,愛知県名古屋市中区錦３‐１７‐１５ドン・キホーテ栄本店Ｂ１,35.1702098,136.9063906,chunithm;iidx;maimai_dx;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ四日市店,三重県四日市市泊小柳町４−３４,34.9393248,136.6068238,chunithm;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;reflec;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ塩尻店,長野県塩尻市広丘野村１７９４−１,36.1415524,137.9538308,chunithm;gitadora;iidx;jubeat;maimai_dx;ongeki;project_diva,iidx_lm,allnet;eagate
アピナ太田店,群馬県太田市内ケ島町９０７−１,36.2829707,139.3984248,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;reflec;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ姫路店,兵庫県姫路市東郷町１４５４−３姫路リオス２階,34.8269676,134.7151601,chunithm;dance_evo;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;reflec,iidx_lm;popn_pikapika,allnet;eagate
アピナ宇都宮店,河内郡上三川町磯岡421-1ジョイフル本田宇都宮店2F,36.4848566,139.9081935,sdvx,sdvx_vm,eagate
アピナ富山南店,富山県富山市堀川町３５５−３ マイプラザ内,36.6649370,137.2173196,gitadora;iidx;jubeat;nostalgia;polaris_chord;project_diva;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ富山豊田店,富山県富山市豊田町２丁目１２−６６,36.7210181,137.2355046,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;reflec;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ富谷店,富谷市大清水1-33-1イオンモール109シネマズ富谷1F,38.3652826,140.8765988,ddr;gitadora;polaris_chord;popn;sdvx,ddr_gold;sdvx_vm,eagate
アピナ小山店,栃木県小山市駅南町４−２７−１８,36.3004010,139.8091238,chunithm;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ川越店,埼玉県川越市泉町１−１　ウニクス南古谷シネマ棟１Ｆ,35.9038204,139.5153346,chunithm;gitadora;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ松本店,長野県松本市双葉１９−１０,36.2105026,137.9615503,chunithm;dance_evo;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;reflec;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階,35.5973214,139.3373139,chunithm;gitadora;iidx;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ浜松店,静岡県浜松市中央区葵西２−２７−１０,34.7674101,137.7081848,chunithm;gitadora;iidx;maimai_dx;ongeki;polaris_chord;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ焼津店,静岡県焼津市道原５８５,34.8335667,138.3059799,chunithm;gitadora;iidx;maimai_dx;nostalgia;ongeki;popn;reflec;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ米子店,鳥取県米子市米原二丁目１３２０番地１メガドン・キホーテ３階,35.4422830,133.3300695,chunithm;iidx;maimai_dx;ongeki;sdvx,iidx_lm;sdvx_vm,allnet;eagate
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル,35.7050135,139.6181738,chunithm;ddr;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx,ddr_gold;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ豊橋,愛知県豊橋市藤沢町１４１ホリデイ・スクエアＡＭ棟１階,34.7445532,137.3713362,chunithm;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ野々市店,石川県野々市市白山町４−１イオンタウン野々市店内,36.5273856,136.6121969,chunithm;gitadora;iidx;maimai_dx;ongeki,iidx_lm,allnet;eagate
アピナ長岡店,新潟県長岡市堺東町２２,37.4579741,138.8131975,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,allnet;eagate
アピナ長野大橋店,長野県長野市若里７−９−１２,36.6265335,138.2002093,chunithm;gitadora;iidx;maimai_dx;nostalgia;ongeki;sdvx,iidx_lm;sdvx_vm,allnet;eagate
