name,address,latitude,longitude,games,cabs,game_counts,source
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:6;ddr:2;drs:3;gitadora:1;iidx:1;maimai_dx:6;popn:2;pump_it_up:2;sdvx:1;taiko:5,allnet;ziv;insert_coin
PARADIGM ZONE,"58 Gawler Place, Adelaide SA 5000",-34.9234290,138.6021461,chunithm;drs;iidx;maimai_dx;other;popn;sdvx;taiko,,chunithm:2;drs:1;iidx:1;maimai_dx:2;popn:2;sdvx:1;taiko:1,allnet;ziv;insert_coin
ARCstage,"10612 124 ST NW Unit 100 Edmonton Alberta, T5N 1S4, Edmonton",53.5497312,-113.5361830,chunithm;ddr;iidx;jubeat;maimai_dx;other;project_diva;pump_it_up;sdvx;taiko;wacca,,chunithm:2;ddr:1;iidx:1;jubeat:1;maimai_dx:1;project_diva:1;pump_it_up:1;sdvx:1;taiko:1;wacca:1,ziv;insert_coin
Claw Planet/Planète Claw,"563 Boulevard des Laurentides Laval Québec, H7G2V3, Laval",45.5718827,-73.6935639,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;project_diva;pump_it_up;sdvx;wacca,,chunithm:1;ddr:1;drs:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:2;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;wacca:1,ziv
eSpot,"8181 Cambie Road Unit 1000 Richmond British Columbia, V6X 3X9, Richmond",49.1853728,-123.1336526,chunithm;ddr;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;project_diva;sdvx;taiko;wacca,,chunithm:1;ddr:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:1;taiko:2;wacca:1,ziv;insert_coin
Pixel Paradise Arcade @ Bayfield Mall,"320 Bayfield St Unit 201 Barrie Ontario, L4M 3C1, Barrie",44.4003069,-79.7031122,chunithm;ddr;gitadora;iidx;jubeat;nostalgia;other;popn;pump_it_up;taiko,,chunithm:2;ddr:2;gitadora:2;iidx:1;jubeat:2;nostalgia:1;popn:2;pump_it_up:1;taiko:2,ziv
Yume,"333 Spadina Ave 2nd Floor Toronto Ontario, M5T 2E9, Toronto",43.6547539,-79.3982745,chunithm;ddr;iidx;ongeki;other;project_diva;taiko;wacca,,chunithm:2;ddr:1;iidx:1;ongeki:1;project_diva:1;taiko:1;wacca:2,ziv;insert_coin
Entretenimientos Diana Merced,"Merced 839 Santiago Región Metropolitana, Santiago",-33.4382771,-70.6490706,ddr;iidx;other;pump_it_up,,ddr:2;iidx:1;pump_it_up:3,ziv;insert_coin
Portal Friki,"269 Manuel Antonio Matta La Serena Coquimbo, 1710086, La Serena",-29.9003913,-71.2525178,ddr;iidx;jubeat;other;project_diva;pump_it_up;reflec;sdvx;taiko,,ddr:1;iidx:1;jubeat:1;project_diva:1;pump_it_up:3;reflec:1;sdvx:1;taiko:1,ziv;insert_coin
GuNe火窝,新津街道珠池路丽水庄西区40栋,23.3750598,116.7278103,chunithm;dance_evo;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;sdvx;wacca,,chunithm:2;dance_evo:1;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:1;ongeki:1;popn:1;sdvx:2;wacca:1,bemanicn;nearcade
M＋娱乐空间（百盛步行街广场店）,广西壮族自治区南宁市兴宁区朝阳路9号百盛步行街广场5楼,22.8168160,108.3174053,iidx;jubeat;maimai_dx;sdvx,,iidx:2;jubeat:1;maimai_dx:1;sdvx:2,nearcade
Pigeon House Gugugu,"Nan Jing Shi, 210005, CN",32.0362900,118.7843800,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;sdvx;taiko,,chunithm:1;ddr:1;gitadora:2;iidx:1;jubeat:1;maimai_dx:2;sdvx:1;taiko:1,insert_coin
SW窝,福建省邵武市解放东路与公路巷交叉口西40米,27.3483537,117.4856096,chunithm;iidx;maimai_dx;ongeki;popn;sdvx,,chunithm:1;iidx:1;maimai_dx:1;ongeki:1;popn:1;sdvx:1,bemanicn;nearcade
Tree窝,春满家园一号楼,41.9238390,123.3907896,chunithm;iidx;maimai_dx;ongeki;sdvx;taiko,,chunithm:1;iidx:1;maimai_dx:2;ongeki:1;sdvx:1;taiko:1,bemanicn;nearcade
Vita音游（试运营中）,证大喜玛拉雅L座6楼626室,32.0428288,118.7623447,chunithm;gitadora;iidx;ongeki;sdvx;taiko,,chunithm:1;gitadora:1;iidx:1;ongeki:1;sdvx:2;taiko:1,bemanicn;nearcade
WIN窝 | 赢窝,沙东街道陶庄路5号,23.1647765,113.3153809,chunithm;iidx;maimai_dx;ongeki;sdvx,,chunithm:1;iidx:1;maimai_dx:3;ongeki:1;sdvx:1,bemanicn;nearcade
X50 Music Game Station 西門一店,武昌街二段134號,25.0484720,121.4989209,iidx;jubeat;sdvx,,iidx:2;jubeat:1;sdvx:6,nearcade
X50 Music Game Station 高雄店,立誠里重慶街1-12號,22.6411889,120.3015954,chunithm;ddr;gitadora;iidx;maimai_dx;popn;sdvx;taiko,,chunithm:4;ddr:1;gitadora:2;iidx:1;maimai_dx:3;popn:1;sdvx:4;taiko:3,nearcade
【8.8开业】M.Lab 米莱音游研究所,北京市北京市朝阳区朝阳北路102号朝阳区青年汇三期 米莱音游研究所,39.9231948,116.5126153,chunithm;iidx;maimai_dx;project_diva;sdvx,,chunithm:2;iidx:1;maimai_dx:5;project_diva:1;sdvx:1,bemanicn;nearcade
䨻䨻音游同好会,浙江省宁波市海曙区东渡路29号宁波世界贸易中心,29.8710643,121.5539390,chunithm;dance_evo;ddr;gitadora;groove_coaster;iidx;maimai_dx;nostalgia;ongeki;other;pump_it_up;reflec;sdvx;taiko,,chunithm:1;dance_evo:1;ddr:1;gitadora:2;groove_coaster:1;iidx:1;maimai_dx:1;nostalgia:1;ongeki:1;pump_it_up:3;reflec:1;sdvx:1;taiko:1,bemanicn;nearcade
乐秀电玩城,"抚顺市新抚区中央大街7号金地大厦 抚顺市(FuShun) 辽宁省（Liaoning Province）, 抚顺市(FuShun)",41.8616174,123.9031857,iidx,,,ziv
乐翻天游乐园,"承德市佟温路二号 承德市（Chengde） 河北省（Hebei）, 067000, 承德市（Chengde）",40.9734372,117.9355261,iidx;other;reflec;taiko,,,ziv
乐趣时代·智趣乐园（石岐大信店）,莲员东路2号大信·新都汇二期B座3楼,22.5333548,113.3761144,chunithm;iidx;jubeat;maimai_dx;other,,chunithm:1;iidx:1;jubeat:2;maimai_dx:2,bemanicn;nearcade
乐酷电玩俱乐部(金源燕莎店),"Jinyuan Xinyansha Mall, 1 Yuanda Road 5th Floor BEIJING Beijing Shi, BEIJING",39.9586480,116.2895215,gitadora;iidx;sdvx;stepmaniax,,,ziv
几何舞俱乐部,上海市杨浦区军工路200号,31.2854725,121.5543102,chunithm;iidx;jubeat;maimai_dx;sdvx,,chunithm:2;iidx:1;jubeat:1;maimai_dx:5;sdvx:1,nearcade
力堡 站前店,忠孝西路一段50-1號(站前地下街15-6號),25.0501001,121.5098106,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;sdvx;wacca,,chunithm:3;ddr:1;gitadora:2;iidx:2;jubeat:2;maimai_dx:2;nostalgia:1;sdvx:3;wacca:2,nearcade
动力99,"东莞市南城区鸿福路200号第一国际汇一城313-333 东莞市(Dongguan) 广东省 (Guangdong Province), 东莞市(Dongguan)",23.0088655,113.7549520,gitadora;iidx;jubeat;reflec,,,ziv
卡奇部落家庭娱乐中心（沈阳大悦城店）,中街大悦城D馆 3楼,41.8000448,123.4647434,iidx;jubeat;maimai_dx;other;pump_it_up;sdvx;taiko;wacca,,iidx:1;jubeat:1;maimai_dx:1;pump_it_up:1;sdvx:1;taiko:3;wacca:3,bemanicn;nearcade;wahlap
和音屋 x -Azisai- 北京店 立直麻将/音游,七里庄路口向北附近（详见群内信息）,39.8530000,116.2950000,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;popn;sdvx,,chunithm:1;ddr:1;gitadora:2;iidx:3;jubeat:1;maimai_dx:2;nostalgia:1;popn:1;sdvx:1,bemanicn;ziv;nearcade
和音屋x出勤公司沈阳中街店,辽宁省沈阳市大东区津桥路3号新世界时尚广场4楼和音屋出勤公司,41.8020014,123.4595309,chunithm;gitadora;iidx;maimai_dx;ongeki;sdvx,,chunithm:1;gitadora:1;iidx:2;maimai_dx:2;ongeki:1;sdvx:1,wahlap;bemanicn;nearcade
咖喱窝×未来盒子,长安南路72号诚意防腐木业院内,34.1891116,108.9398179,chunithm;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;project_diva;sdvx;taiko,,chunithm:2;gitadora:1;groove_coaster:1;iidx:1;jubeat:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:1;taiko:1,bemanicn;nearcade
哈啦星球 一中店,太平路10號,24.1505253,120.6820036,chunithm;ddr;gitadora;iidx;maimai_dx;sdvx;taiko,,chunithm:4;ddr:1;gitadora:2;iidx:1;maimai_dx:4;sdvx:2;taiko:2,nearcade
哈啦星球 逢甲店,西屯路二段269-48號,24.1772910,120.6405598,chunithm;ddr;groove_coaster;iidx;jubeat;maimai_dx;project_diva;sdvx;taiko;wacca,,chunithm:3;ddr:1;groove_coaster:1;iidx:1;jubeat:1;maimai_dx:4;project_diva:1;sdvx:3;taiko:2;wacca:1,nearcade
哈基窝,库洛雀庄（欢乐宫西侧同城配送门市）,42.8856997,129.4876320,chunithm;iidx;maimai_dx;ongeki;sdvx,,chunithm:1;iidx:2;maimai_dx:2;ongeki:1;sdvx:1,bemanicn;nearcade
城市英雄电玩,"河南省郑州市二七区西大街 郑州(Zhengzhou) 河南 (Henan), 450001, 郑州(Zhengzhou)",34.7518012,113.6677963,iidx;jubeat;other;pump_it_up;reflec;taiko,,iidx:1;jubeat:2;pump_it_up:1;reflec:2;taiko:1,ziv
城市英雄长沙店,"中国湖南省长沙市黄兴中路92号 Changsha Shi Hunan Sheng, Changsha Shi",28.1935426,112.9760110,iidx;jubeat;other;pump_it_up;reflec,,,ziv
天天玩,"2088号 Hua Shan Lu, Shang Hai Shi, 200030, CN",31.1965750,121.4373750,chunithm;gitadora;iidx;maimai_dx;sdvx;taiko,,chunithm:1;gitadora:1;iidx:1;maimai_dx:1;sdvx:1;taiko:1,insert_coin
天天玩Game（上海徐汇汇银广场店）,华山路2088号汇银广场南楼7M层,31.1986788,121.4326143,chunithm;gitadora;iidx;jubeat;maimai_dx;other;sdvx;taiko,,chunithm:4;gitadora:1;iidx:4;jubeat:2;maimai_dx:7;sdvx:4;taiko:1,bemanicn;ziv;nearcade;wahlap
宁波工程学院,"147号-191号 Feng Hua Lu Ningbo Zhejiang, 315032, Ningbo",29.9109633,121.6119830,ddr;iidx;maimai_dx;nostalgia;other;pump_it_up;sdvx;taiko,,ddr:1;iidx:2;maimai_dx:1;nostalgia:1;pump_it_up:2;sdvx:1;taiko:1,ziv
宅漫游电玩工作室,两江新区红鼎国际C座,29.5794816,106.5289183,chunithm;iidx;jubeat;maimai_dx;nostalgia;ongeki;popn;project_diva;pump_it_up;sdvx;taiko,,chunithm:2;iidx:1;jubeat:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;taiko:1,bemanicn;nearcade;wahlap
巅峰时代电玩城,"朝阳区华严北里甲1号28幢地下一层(祁家豁子家乐福旁边） Chaoyang 北京 (Beijing), Chaoyang",39.9812965,116.3805825,iidx;other;taiko,,,ziv
广州星力动漫游戏产业园,"广州市番禺区东环街迎新路8号 广州市(CANTON) 广东省 (Guangdong Province), 广州市(CANTON)",22.9694623,113.3773774,gitadora;iidx;jubeat;other;reflec,,gitadora:4;iidx:2;jubeat:4;reflec:2,ziv
悠窝音游,风尚米兰一期LOFT2号楼1010,34.2808491,117.1805283,chunithm;iidx;maimai_dx;ongeki;sdvx;taiko,,chunithm:1;iidx:1;maimai_dx:2;ongeki:1;sdvx:1;taiko:1,bemanicn;nearcade
拿酷科幻城湛江赤坎店,广东省湛江市赤坎区沙湾街道丽悦新天M层拿酷科幻城,21.2691259,110.3885873,ddr;gitadora;iidx;jubeat;maimai_dx;other,,ddr:1;gitadora:1;iidx:1;jubeat:1;maimai_dx:1,wahlap;bemanicn;nearcade
