name,address,latitude,longitude,games,cabs,game_counts,source
Zona Entretenimientos - COTO (Mar Del Tuyú),"Ruta Provincial 11 Mar del Tuyú Buenos Aires, Mar del Tuyú",-36.5824367,-56.7167206,ddr;other,,,ziv
Arcadia Bar,"9 Fifth Lane Mackay Queensland, 4740, Mackay",-21.1421046,149.1855143,ddr;other,,,ziv
ARCHIE BROTHERS CCW,"285 Springvale Road, Glen Waverley, Victoria, Australia, 3150",-37.8812875,145.1647251,ddr;maimai_dx;other;taiko,,,allnet;ziv
Archie Brothers Cirque Electriq Chadstone,"1341 Dandenong Rd Service Rd Malvern East Victoria, 3147, Malvern East",-37.8843548,145.0826168,ddr;taiko,,,ziv
Archie Brothers Cirque Electriq Melbourne Docklands,"440 Docklands Drive Docklands Victoria, 3008, Docklands",-37.8121484,144.9366159,ddr;other;taiko,,,ziv
Archie Brothers Cirque Electriq QV Melbourne,"Level 3 QV Shopping Centre 222 Lonsdale Street Melbourne VIC, 3000, Melbourne",-37.8107947,144.9652084,ddr;maimai_dx;other;sdvx;taiko,,ddr:1;maimai_dx:2;sdvx:1;taiko:1,ziv
Archie Brothers Karrinyup,"200 Karrinyup Road Karrinyup Western Australia, 6018, Karrinyup",-31.8772119,115.7767826,ddr;taiko,,,ziv
Archie Brothers Perth,"401 Wellington Street Perth Western Australia, 6000, Perth",-31.9523346,115.8607302,ddr,,,ziv
Archie Brothers Point Cook,"36 Wallace Avenue Point Cook Victoria, 3030, Point Cook",-37.8720925,144.7474909,ddr;other;taiko,,,ziv
B.LUCKY&SONS MELBOURNE,"Level 3, 211 Latrobe St., Melrourne, Vic,3000",-37.8105556,144.9630556,ddr;maimai_dx;other;sdvx;taiko,,,allnet;ziv
Barcadia,"12 Lake Street Northbridge Western Australia, 6003, Northbridge",-31.9483661,115.8567021,ddr;other;taiko,,,ziv
Bazinga Trading & Arcade Centre,"Level 1/10 Unity Way Munno Para South Australia, 5115, Munno Para",-34.6715844,138.6817287,ddr;other,,,ziv
Caribbean Rollerama,"1298 Ferntree Gully Road Scoresby Victoria, 3179, Scoresby",-37.8999614,145.2261029,ddr;other,,,ziv
