name,address,latitude,longitude,games,cabs,game_counts,source
Clarck Entertaiment - Showroom,"2267 Añasco EHO Buenos Aires, C1416, EHO",-34.5993772,-58.4580465,gitadora;other,,,ziv
Holiday´s,"7451 Calle 2 Mar del Tuyú Buenos Aires, Mar del Tuyú",-36.5771986,-56.6903374,gitadora,,,ziv
Playland Park Puerto Madryn,"Avenida Julio Argentino Roca, 28 de Julio Puerto Madryn Chubut, U9120, Puerto Madryn",-42.7657391,-65.0336909,gitadora;pump_it_up,,,ziv
AMUSE,"16 WITCOMBE STREET, ADELAIDE, SA5000",-34.9299206,138.5947976,chunithm;gitadora;jubeat;maimai_dx;sdvx,,,allnet;ziv
Kingpin Bowling Townsville,"16 High Range Drive Thuringowa Townsville Queensland (QLD), 4187, Townsville",-19.3200174,146.7258416,ddr;gitadora;other;taiko,,,ziv
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:6;ddr:2;drs:3;gitadora:1;iidx:1;maimai_dx:6;popn:2;pump_it_up:2;sdvx:2;taiko:5,allnet;ziv
KOKO Amusement City Heroes,"505 George Street Shop 6 Sydney New South Wales, 2000, Sydney",-33.8750989,151.2062354,crossbeats;jubeat;maimai_dx;other;popn;project_diva;sdvx;stepmaniax;taiko;wacca,,crossbeats:1;jubeat:2;popn:1;project_diva:1;sdvx:1;taiko:1;wacca:1,ziv
Netherworld,"186 Brunswick Street Fortitude Valley Queensland, 4006, Fortitude Valley",-27.4559055,153.0319767,jubeat;other,,,ziv
PARADIGM ZONE,"58 Gawler Place, Adelaide SA 5000",-34.9234290,138.6021461,chunithm;drs;iidx;maimai_dx;other;popn;sdvx;taiko,,chunithm:2;drs:1;iidx:1;maimai_dx:2;popn:2;sdvx:1;taiko:1,allnet;ziv
Timezone - Orion Springfield,"Orion Springfield Central 1 Main Street Springfield Central Queensland, 4300, Springfield Central",-27.6788947,152.9007381,ddr;gitadora,,,ziv
Timezone Garden City,"Level 2, Westfield Garden City Upper Mount Gravatt Queensland, 4122, Upper Mount Gravatt",-27.5625104,153.0800495,chunithm;ddr;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:1;ddr:2;gitadora:1;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,ziv
TIMEZONE(HAYMARKET),"Level 3 Market City, 9-13 Hay Street, Haymerket, Sydney, NSW2020",-33.8797944,151.2033833,chunithm;ddr;drs;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:2;ddr:2;drs:1;gitadora:2;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,allnet;ziv
FlippArena Vöcklabruck,"5 Vornbuch Vöcklabruck Oberösterreich, 4840, Vöcklabruck",48.0067710,13.6869269,museca;other;sdvx;stepmaniax,,,ziv
Free Play Lanaken,"1d Industrieweg Lanaken Vlaams Gewest, 3620, Lanaken",50.8887037,5.6638867,ddr;groove_coaster;other;popn;taiko,,ddr:1;groove_coaster:2;popn:1;taiko:1,ziv
Game-INN,"Vijfseweg 92 Waregem 9300, Waregem",50.8960464,3.4236199,drs;nostalgia;other,,,ziv
Mercado Camacho,"174 Bueno La Paz Departamento de La Paz, La Paz",-16.5004649,-68.1318941,gitadora,,,ziv
ARCstage,"10612 124 ST NW Unit 100 Edmonton Alberta, T5N 1S4, Edmonton",53.5497312,-113.5361830,chunithm;ddr;iidx;jubeat;maimai_dx;other;project_diva;pump_it_up;sdvx;taiko;wacca,,chunithm:2;ddr:1;iidx:1;jubeat:1;project_diva:1;pump_it_up:1;sdvx:1;taiko:1;wacca:1,ziv
Claw Planet/Planète Claw,"563 Boulevard des Laurentides Laval Québec, H7G2V3, Laval",45.5718827,-73.6935639,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;project_diva;pump_it_up;sdvx;wacca,,chunithm:1;ddr:1;drs:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:2;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;wacca:1,ziv
eSpot,"8181 Cambie Road Unit 1000 Richmond British Columbia, V6X 3X9, Richmond",49.1853728,-123.1336526,chunithm;ddr;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;project_diva;sdvx;taiko;wacca,,chunithm:3;ddr:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:2;taiko:2;wacca:1,ziv
FreePlay Toronto,"300 College Street Toronto Ontario, M5T 1R9, Toronto",43.6578276,-79.4016600,ddr;jubeat;other,,,ziv
La Rétro Arcade 2PM,"559 Route 131 Notre-Dame-des-Prairies Quebec, J0K 1M0, Notre-Dame-des-Prairies",46.0620203,-73.4195173,gitadora;other,,,ziv
