name,address,latitude,longitude,games,cabs,game_counts,source
Kingpin Bowling Norwood,"11 Osmond Terrace Norwood South Australia, 5067, Norwood",-34.9165750,138.6311511,drs;other;taiko,,,ziv
KINGPIN CANBERRA,"Canberra Centre Bunda Street,Canberra City ACT 2608",-35.2802271,149.1332559,drs;maimai_dx;other;taiko,,,allnet;ziv
KINGPIN MELBOURNE,"260 Collins St, MELBOURNE VIC 3000",-37.8152725,144.9650986,chunithm;ddr;drs;maimai_dx;other;taiko,,chunithm:2;ddr:1;drs:1;maimai_dx:1;taiko:1,allnet;ziv
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:6;ddr:2;drs:3;gitadora:1;iidx:1;maimai_dx:6;popn:2;pump_it_up:2;sdvx:2;taiko:5,allnet;ziv
KOKO AMUSEMENT BURWOOD,"lot29 27-31 belmore St,.Burwood,2134,NSW",-33.8784196,151.1021580,chunithm;ddr;drs;maimai_dx;other;taiko,,chunithm:1;ddr:1;drs:1;maimai_dx:2;taiko:2,allnet;ziv
KOKO HURSTVILLE,"G03/288 Forest Road, HurstvilleNSW",-33.9669703,151.1032215,ddr;drs;maimai_dx;other;taiko,,ddr:1;drs:1;maimai_dx:1;taiko:1,allnet;ziv
PARADIGM ZONE,"58 Gawler Place, Adelaide SA 5000",-34.9234290,138.6021461,chunithm;drs;iidx;maimai_dx;other;popn;sdvx;taiko,,chunithm:2;drs:1;iidx:1;maimai_dx:2;popn:2;sdvx:1;taiko:1,allnet;ziv
Timezone @ Coolangatta,"82 Griffith Street Coolangatta Queensland, 4225, Coolangatta",-28.1683835,153.5388090,drs;other;pump_it_up;stepmaniax,,,ziv
TIMEZONE(HAYMARKET),"Level 3 Market City, 9-13 Hay Street, Haymerket, Sydney, NSW2020",-33.8797944,151.2033833,chunithm;ddr;drs;gitadora;maimai_dx;other;popn;pump_it_up;sdvx;taiko,,chunithm:2;ddr:2;drs:1;gitadora:2;maimai_dx:2;popn:1;pump_it_up:1;sdvx:1;taiko:1,allnet;ziv
Game-INN,"Vijfseweg 92 Waregem 9300, Waregem",50.8960464,3.4236199,drs;nostalgia;other,,,ziv
CHQ Entertainment,"4800 Kingsway Burnaby British Columbia, V5H 4N2, Burnaby",49.2272058,-122.9994267,chunithm;drs;groove_coaster;maimai_dx;ongeki;other;pump_it_up;sdvx;taiko;wacca,,chunithm:4;drs:1;groove_coaster:1;ongeki:1;pump_it_up:1;sdvx:1;taiko:1;wacca:2,ziv
Claw Planet/Planète Claw,"563 Boulevard des Laurentides Laval Québec, H7G2V3, Laval",45.5718827,-73.6935639,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;project_diva;pump_it_up;sdvx;wacca,,chunithm:1;ddr:1;drs:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:2;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;wacca:1,ziv
