name,address,latitude,longitude,games,cabs,game_counts,source
CHQ Entertainment,"4800 Kingsway Burnaby British Columbia, V5H 4N2, Burnaby",49.2272058,-122.9994267,chunithm;drs;groove_coaster;maimai_dx;ongeki;other;pump_it_up;sdvx;taiko;wacca,,chunithm:4;drs:1;groove_coaster:1;ongeki:1;pump_it_up:1;sdvx:1;taiko:1;wacca:2,ziv
Claw Planet/Planète Claw,"563 Boulevard des Laurentides Laval Québec, H7G2V3, Laval",45.5718827,-73.6935639,chunithm;ddr;drs;gitadora;groove_coaster;iidx;jubeat;maimai_dx;ongeki;other;popn;project_diva;pump_it_up;sdvx;wacca,,chunithm:1;ddr:1;drs:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;maimai_dx:2;ongeki:1;popn:1;project_diva:1;pump_it_up:1;sdvx:1;wacca:1,ziv
eSpot,"8181 Cambie Road Unit 1000 Richmond British Columbia, V6X 3X9, Richmond",49.1853728,-123.1336526,chunithm;ddr;gitadora;groove_coaster;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;popn;project_diva;sdvx;taiko;wacca,,chunithm:3;ddr:1;gitadora:2;groove_coaster:1;iidx:1;jubeat:2;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:2;taiko:2;wacca:1,ziv
GuNe火窝,新津街道珠池路丽水庄西区40栋,23.3748930,116.7279540,chunithm;maimai_dx;ongeki,,chunithm:2;maimai_dx:1;ongeki:1,bemanicn
SW窝,福建省邵武市解放东路与公路巷交叉口西40米,27.3468180,117.4888630,chunithm;maimai_dx;ongeki,,chunithm:1;maimai_dx:1;ongeki:1,bemanicn
䨻䨻音游同好会,浙江省宁波市海曙区东渡路29号宁波世界贸易中心,29.8710320,121.5539470,chunithm;maimai_dx;ongeki,,chunithm:1;maimai_dx:1;ongeki:1,bemanicn
三华里の漫音屋（广州花都店）,尖东街115号三华里羽毛球馆,23.4015570,113.1837720,chunithm;maimai_dx;ongeki,,chunithm:1;maimai_dx:1;ongeki:1,bemanicn
元气屋龙窝音游屋,柳巷南路柳巷商贸3F元气屋,37.8629960,112.5604180,chunithm;maimai_dx;ongeki,,chunithm:1;maimai_dx:1;ongeki:1,bemanicn
和月雀荘,北一路295号A-2093（万达金街二楼））,37.4563560,118.5354210,chunithm;maimai_dx;ongeki,,chunithm:1;maimai_dx:1;ongeki:1,bemanicn
和音屋（昆明南屏街店）,五华区世纪广场C2幢17楼E,25.0409510,102.7105320,chunithm;maimai_dx;ongeki,,chunithm:2;maimai_dx:1;ongeki:1,bemanicn;wahlap
