name,address,latitude,longitude,games,cabs,game_counts,source
(装修中）玩家来也（全运路万达店）,全运路万达3F,41.6751100,123.4623050,other,,,bemanicn
1-7PLAY(西美花街店),红旗大街西美·花街生活工场4楼,38.0390830,114.5054380,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn
1-7play一起玩嘉年华,怀仁市新天地购物广场5楼,39.3298480,112.4235110,taiko,,taiko:1,bemanicn
1-7PLAY一起玩嘉年华(沧州一首诗生活中心店),沧州市运河区黄河西路与开元南大道交叉口荣盛国际购物广场F2,38.3055070,116.8269580,maimai_dx,,maimai_dx:1,bemanicn
1-7play一起玩家庭娱乐中心（天津东丽万达店）,东丽万达广场①入口3楼直达,39.0793730,117.3218770,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn;ziv
1-7PLAY一起玩滁州苏宁广场店（原风云再起）,天长西路54号苏宁广场负一层,32.2602480,118.3334930,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn
1-7PLAY唐山世界城店,河北省唐山市开平区中骏世界城二层1-7PLAY家庭娱乐中心,39.6271240,118.1780320,maimai_dx,,,wahlap
1-7PLAY家庭娱乐中心(中骏世界城店),普光道北侧规划新开路西侧中骏世界城(唐山店)二层西南角,39.6334100,118.1741900,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn
1-7PLAY家庭娱乐中心（雄安奥特莱斯店）,县容东双文街118号雄安奥特莱斯A301,38.8720440,115.4625540,taiko,,taiko:1,bemanicn
1-7play沧州一首诗中心店,河北省沧州市一首诗艺术生活中心二楼,38.3078860,116.8371550,maimai_dx,,,wahlap
1-7play电玩天津东丽万达店,天津市东丽区先锋东路6号万达广场(东丽店)3楼1-7play一起玩嘉年华电玩城（东丽万达店）,39.0819830,117.3099350,maimai_dx,,,wahlap
101潮玩中心,湖光路101号101聚厂B栋1楼101潮玩中心,24.4786060,118.0815360,maimai_dx;other,,maimai_dx:1,bemanicn
101潮玩中心厦门思明店,福建省厦门市思明区湖光路101-29号105室、106室、107室,24.4815260,118.0859000,maimai_dx,,,wahlap
11Lab超乐场天津SM广场店,天津市东丽区环河北路SM城市广场168号金环B门一层11Lab超乐场,39.0807710,117.3055770,chunithm,,,wahlap
11Lab超乐场天津东丽店,天津市东丽区环河北路168号SM天津滨海城市广场一楼11Lab超乐场,39.1566230,117.4124470,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,wahlap;bemanicn;ziv
168遊戲機中心,觀塘牛頭角道300-302號裕民中心地下54-58號鋪,22.2858660,114.1646850,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:1;taiko:1,bemanicn
1号机长,海安中央广场,31.9861180,120.8913630,maimai_dx;other,,maimai_dx:1,bemanicn
1号机长(凯德壹店),湖南省长沙市岳麓区茶子山东路112号(茶子山地铁站4号口步行320米)凯德壹中心,28.2276730,112.9349550,maimai_dx,,maimai_dx:1,bemanicn
1号机长化州万达店,万达广场(茂名化州店)三楼,21.6705840,110.9203470,maimai_dx,,maimai_dx:1,bemanicn
1号机长南通海安中央广场店,江苏省南通市海安市中坝中路41号喜润城3楼C3015号1号机长,31.9842060,120.8873350,maimai_dx,,,wahlap
1号机长合肥瑶海天地店,安徽省合肥市瑶海区瑶海天地3楼,31.8225250,117.2174740,jubeat;maimai_dx,,jubeat:2;maimai_dx:2,wahlap;bemanicn
1号机长合肥蜀山万象汇店,安徽省合肥市蜀山区南七街道合作化路与望江西路交口西南角合肥蜀山万象汇L0218N号,31.8205720,117.2185340,maimai_dx,,maimai_dx:1,wahlap;bemanicn
1号机长常德安乡城市广场店,湖南省常德市安乡县深柳镇城市广场1楼,29.0298390,111.6928270,maimai_dx,,maimai_dx:1,wahlap;bemanicn
1号机长常德武陵店,湖南省常德市武陵区武陵大道998号和瑞欢乐城3楼3030号,29.0298010,111.6960640,maimai_dx,,maimai_dx:1,wahlap;bemanicn
1号机长常德澧县店,湖南省常德市澧县欢乐城22号入口1号机长超乐场,29.0346160,111.6902630,maimai_dx,,,wahlap
1号机长常德鼎城吾悦广场店,湖南省常德市鼎城区玉霞街道常德吾悦广场3F一号机长,29.0342040,111.6978800,maimai_dx,,maimai_dx:1,wahlap;bemanicn
1号机长怀化溆浦万达店,湖南省怀化市溆浦县卢峰镇万达广场三楼1号机长,27.5705440,109.9935490,maimai_dx,,,wahlap
1号机长超乐场常德澧县店,欢乐城22号入口下,29.0309580,111.6890600,maimai_dx,,maimai_dx:1,bemanicn
1号机长超乐场芜湖inPARK店,安徽省芜湖市镜湖区中山路步行街inPARK商场4楼1号机长超乐场,31.3590390,118.4253550,maimai_dx,,,wahlap
1号机长超乐场茂名化州店,广东省茂名市化州市万达广场三楼1号机长,21.6634440,110.9185180,maimai_dx,,,wahlap
1号机长超乐场西安未央西咸万象城店,西安市未央区三桥街道西咸万象城三楼一号机长,34.3473280,108.9343630,chunithm;maimai_dx,,,wahlap
1号机长超乐场郑州金水美盛龙湖天街店,郑州市金水区丰庆路美盛龙湖天街3层17号,34.7462810,113.6210870,maimai_dx,,,wahlap
1号机长超乐场（溆浦店）,溆浦县万达广场一号,27.5762720,110.0012760,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn
1号机长超乐场（随州吾悦广场店）,曾都区交通大道吾悦广场三楼,31.6958310,113.3722560,maimai_dx,,maimai_dx:1,bemanicn
1号机长郑州郑东新区熙地港店,河南省郑州市郑东新区农业东路15号熙地港(郑州)购物中心3层027号1号机长店铺,34.7456220,113.6213610,chunithm;maimai_dx,,,wahlap
1号机长随州曾都店,湖北省随州市曾都区交通大道466号吾悦广场3楼1号机长,31.6900310,113.3758880,maimai_dx,,,wahlap
1号机长（芜湖镜湖inPARK店）,中山路步行街48号inPARK4楼,31.3504680,118.4269180,maimai_dx,,maimai_dx:2,bemanicn
1号玩家淄博淄川sm广场店,山东省淄博市淄川区sm广场二楼1号玩家,36.8166250,118.0502080,maimai_dx,,,wahlap
1号街区,沱江镇汇金国际,26.4213170,111.6050810,other,,,bemanicn
1号赢家,人民路与汤王大道交汇处,33.8489390,115.7747960,maimai_dx,,maimai_dx:2,bemanicn
1号赢家亳州谯城万达店,安徽省亳州市谯城区万达广场2F-6,33.8448590,115.7778410,maimai_dx,,,wahlap
303lab家庭娱乐中心,天津市天津市宁河区商业道60号百荣商厦三层303303lab家庭游乐中心,39.3246550,117.8225490,maimai_dx,,maimai_dx:1,bemanicn;ziv
365PLAY潮玩,昆仑南道与北站西路交叉口东北角 任丘市万达广场,38.3084730,116.8297650,maimai_dx,,maimai_dx:1,bemanicn
365PLAY潮玩沧州任丘万达店,河北省沧州市任丘市万达广场二楼365PLAY潮玩,38.3035740,116.8268690,maimai_dx,,,wahlap
37度家庭娱乐中心搜购店,和平路路南搜购购物中心2层,36.6255460,114.5361800,maimai_dx,,maimai_dx:1,bemanicn
37度邯郸和平店,河北省邯郸市邯山区和平路搜购购物广场二楼,36.6285220,114.5288400,maimai_dx,,,wahlap
50动漫游艺空间,盛京大家庭广场区四层,41.6751260,123.4545750,maimai_dx,,maimai_dx:1,bemanicn
51区动漫游乐天津西青店,天津市西青区中北镇阜盛道永旺梦乐城2楼51区动漫游乐场,39.1383520,117.0008210,chunithm;maimai_dx,,,wahlap
51区动漫游戏主题乐园,"白云区云霄路353号5号停机坪购物广场F3 Guangzhou Shi Guangdong Sheng, 510000, Guangzhou Shi",23.1814473,113.2658819,maimai_dx;other,,maimai_dx:3,ziv
51区南京浦口天悦城店,江苏省南京市浦口区沿江街道百润路9号天悦城2楼 51区超级乐园,32.0600770,118.7933370,maimai_dx,,,wahlap
51区天津南开大悦城店,天津市南开区南门外大街南开大悦城3f51区超级乐园,39.1343370,117.1425140,maimai_dx,,,wahlap
51区天津南开熙悦汇店,天津市南开区熙悦汇购物中心3F 51区超级乐园,39.1416120,117.1429740,maimai_dx,,,wahlap
51区天津市西青区社会山店,天津市西青区张家窝镇知景道321号社会山广场2层51区超级乐园,39.1449450,117.0045810,maimai_dx,,,wahlap
51区天津西青枫雅印象城店,张家窝镇枫雅道198号天津枫雅印象城购物中心F2层,39.1432540,117.0039260,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn
51区天津西青风雅印象城店,天津市西青区张家窝镇风雅印象城二楼51区超级乐园,39.1437090,116.9986640,maimai_dx,,,wahlap
51区家庭娱乐中心黄岛店,漓江西路1669号东馆3F,36.0675640,120.3824850,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn
51区滨湖江南大悦城店,江苏省无锡市滨湖区江南大悦城二楼51区超级乐园,31.4943960,120.3093460,chunithm,,,wahlap
51区超级乐园 AREA-51 SUPER PARK (天津津南店),"3F, Building 1, Shente Plaza, AEON Mall, Xinzhuang Town Jinnan District Tianjin Tianjin, 300350, Tianjin",39.0262676,117.3353740,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,ziv
51区超级乐园 AREA-51 SUPER PARK (天津西青曹庄店),"3F, AEON Mall, No.1 Fusheng Road, Area 51 Arcade Xiqing District Tianjin Tianjin, 300380, Tianjin",39.1417930,117.0844700,chunithm;maimai_dx;other;taiko,,chunithm:2;maimai_dx:2;taiko:2,ziv
51区超级乐园 AREA-51 SUPER PARK (枫雅印象城购物中心),"2F, Fengya Impression City, No.198 Fengya Road Xiqing District Tianjin Tianjin, 300800, Tianjin",39.0533490,117.0229700,maimai_dx;other;taiko,,,ziv
51区超级乐园 AREA-51 SUPER PARK (梅江永旺店),"2F, AEON Mall, No.111 Youyi South Road Xiqing District Tianjin Tianjin, 300380, Tianjin",39.0269354,117.2129843,maimai_dx;other;taiko,,,ziv
51区超级乐园 AREA-51 SUPER PARK (梅江环宇城店),"Zhonghai Tianjin UniPark (Huanyucheng) Shopping Center, No.689 J Hexi District Tianjin Tianjin, 300201, Tianjin",39.0421696,117.2285200,chunithm;maimai_dx;other,,chunithm:2;maimai_dx:2,ziv
51区超级乐园 AREA-51 SUPER PARK (水游城店),"2F, Building A, Pengxin Aqua City, Dafeng Road Hongqiao District Tianjin Tianjin, 300131, Tianjin",39.1461542,117.1639109,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,ziv
51区超级乐园 AREA-51 SUPER PARK (熙悦汇店),"3F, Xi Yue Hui, No.513 Huanghe Road Nankai District Tianjin Tianjin, 300190, Tianjin",39.1367300,117.1178110,maimai_dx;other;taiko,,,ziv
51区超级乐园 AREA-51 SUPER PARK (社会山店),"2F, Shehuishan Shopping Center, Zhangjiawo Town Xiqing District Tianjin Tianjin, 300380, Tianjin",39.0509760,117.0439270,maimai_dx,,,ziv
51区超级乐园 AREA-51 · solo park,"3F, Joy City Shopping Center, No.2 Nanmenwai Street Nankai District Tianjin Tianjin, 300100, Tianjin",39.1330950,117.1739410,chunithm;maimai_dx;other;taiko,,chunithm:2;maimai_dx:2;taiko:1,ziv
51区超级乐园 天悦城店,江苏省南京市浦口区沿江街道百润路9号天悦城二层,32.0629140,118.7930500,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn
51区超级乐园(新城市广场店),鼓楼区草场门大街99号新城市广场,32.0636080,118.7939120,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,bemanicn
51区超级乐园·solo park,南门外大街2号天津大悦城购物中心3楼,39.1269620,117.1820010,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn
51区超级乐园南京鼓楼店,江苏省南京市鼓楼区草场门大街99号龙江新城市广场一期第三层A305号（51区超级乐园）,32.0608590,118.7946630,maimai_dx,,,wahlap
51区超级乐园天津津南店,天津市津南区辛庄永旺3楼五十一区超级乐园,38.9393080,117.3551360,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,wahlap;bemanicn
51区超级乐园天津红桥水游城店,天津市红桥区水游城A座2楼51区超级乐园,39.1703750,117.1482550,chunithm;maimai_dx,,,wahlap
51区超级乐园天津西青曹庄店,阜盛道1号永旺梦乐城2楼51区动漫游乐场,39.1369050,117.0016590,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:2,bemanicn
51区超级乐园梅江永旺店,西青区友谊南路111号永旺梦乐城F2层,39.1458700,117.0029050,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn
51区超级乐园梅江环宇城店,天津市河西区-解放南路689号中海天津环宇城购物中心,39.1105940,117.2144490,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn
51区超级乐园水游城店,天津市红桥区大丰路鹏欣水游城A馆2F,39.1693360,117.1427330,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn
51区超级乐园济南印象城店,山东省济南市历城区花园路136号印象城5楼L519-L522,36.6508030,117.1198050,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:1;taiko:1,wahlap;bemanicn
51区超级乐园滨州滨城万达广场店,山东省滨州市滨城区万达广场一楼51区超级乐园,37.3813780,117.9606850,maimai_dx,,,wahlap
51区超级乐园熙悦汇店,南开区黄河道513号熙悦汇F3层,39.1389960,117.1384410,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn
51区超级乐园盘锦万达店,辽宁省盘锦市兴隆台区万达广场一楼51区超级乐园,40.7164190,122.1691620,maimai_dx;other,,maimai_dx:2,wahlap;bemanicn
51区超级乐园聊城东昌府万达店,山东省聊城市东昌府区万达广场三楼51区超级乐园前台,36.4604370,115.9772320,maimai_dx,,,wahlap
51区超级乐园西青梅江永旺店,天津市西青区梅江永旺51区超级乐园,39.1393770,117.0047170,maimai_dx,,,wahlap
51区超级乐园（社会山店）,张家窝镇社会山购物中心2楼,39.1221890,117.1894090,maimai_dx,,maimai_dx:1,bemanicn
51区青岛市北悦荟广场店,山东省青岛市市北区人民路269号悦荟广场5楼,36.0682000,120.3747210,chunithm,,,wahlap
51区青岛李沧万达店,山东省青岛市李沧区巨峰路万达广场2楼51区超级乐园,36.0641610,120.3795480,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:3;taiko:1,wahlap;bemanicn
54工场邢台威县店,河北省邢台市威县信誉楼三楼,37.0575010,114.4896730,maimai_dx,,,wahlap
58潮玩空间（任丘万达店）,昆仑南道与北站西路交叉口东北角 任丘市万达广场,38.3056890,116.8265600,maimai_dx,,maimai_dx:1,bemanicn
6686家庭娱乐中心赣州章贡店,江西省赣州市章贡区6686家庭娱乐中心,25.8367690,114.9306910,maimai_dx,,maimai_dx:1,wahlap;bemanicn
7484泛娱乐中心重庆秀山店,重庆秀山土家族苗族自治县中和街道朝阳路138号负1号地下商场负1-1966,28.4506840,108.9971350,maimai_dx,,,wahlap
7484益阳南县步步高桂花店,湖南省益阳市南县南州镇步步高桂花广场三楼f3015号铺7484&爱巴爱麻电玩城,28.5619380,112.3503300,maimai_dx,,,wahlap
7shop南京栖霞康桥圣菲店,江苏省南京市栖霞区文范路9号 康桥圣菲,32.0643840,118.7935450,maimai_dx,,,wahlap
903Psi玩家之家,珞南街道武珞路阜华大厦C座9楼C903,30.5991060,114.2979740,other,,,bemanicn
941卡通尼南京浦口江北虹悦城店,江苏省南京市浦口区龙华路1号江北虹悦城3楼卡通尼,32.0631810,118.7947020,maimai_dx,,,wahlap
[北碚音游窝]RhythmVerse乐律诗篇,天生支路28号北碚五一所（地铁3号口左拐步行200米）6-2-1-1,29.8084150,106.3949540,chunithm;maimai_dx,,chunithm:2;maimai_dx:2,bemanicn
ABAM家庭娱乐中心（三明爱琴海店）,福建省三明市三元区爱琴海购物中心A区一层,26.2650100,117.6298980,maimai_dx,,maimai_dx:1,bemanicn
ABAM电玩娱乐中心,赣南大道爱琴海购物公园3F3001,25.8323170,114.9269310,maimai_dx,,maimai_dx:1,bemanicn
