name,address,latitude,longitude,games,cabs,source
Acatraz Bar & Games,"3624 Avenida Rivadavia Buenos Aires Buenos Aires, C1204, Buenos Aires",-34.6111341,-58.4176939,other,,ziv
Ale-Play,"109 Calle 58 Mar del Tuyú Provincia de Buenos Aires, B7108, Mar del Tuyú",-36.5588939,-56.6894283,other,,ziv
Arcade Parque de la republica,"Cno. Gral. Manuel Belgrano S/N Manuel B. Gonnet Buenos Aires Province, B1897, Manuel B. Gonnet",-34.8845624,-58.0181095,other,,ziv
Bar El Destello,"1460 Gascón Lisandro Olmos Buenos Aires, C1181, Lisandro Olmos",-34.5933689,-58.4228753,other,,ziv
Carroussel Park,"164 25 de Mayo San Miguel de Tucumán Tucumán, T4000, San Miguel de Tucumán",-26.8287984,-65.2043701,other,,ziv
Centerplay,"2169 Chiozza San Bernardo Buenos Aires, San Bernardo",-36.6942127,-56.6775005,other,,ziv
Centerplay (Pinamar),"400 Avenida Arquitecto Jorge Bunge Pinamar Buenos Aires, Pinamar",-37.1139075,-56.8623229,other,,ziv
Centerplay (Villa Gesell),"585 Avenida 3 Villa Gesell Buenos Aires, Villa Gesell",-37.2584202,-56.9699557,other,,ziv
Central Park,"1200-1102 Calle 18 Miramar Buenos Aires, Miramar",-38.2725899,-57.8355165,other,,ziv
Charlie's,"2668 Chiozza San Bernardo Buenos Aires, San Bernardo",-36.6881190,-56.6780806,other,,ziv
Clarck Entertaiment - Showroom,"2267 Añasco EHO Buenos Aires, C1416, EHO",-34.5993772,-58.4580465,gitadora;other,,ziv
COTO Z! Juegos,"525 Avenida Cabildo Buenos Aires Buenos Aires, C1426, Buenos Aires",-34.5711337,-58.4421340,other,,ziv
Crazy Park,"200-298 Calle 38 Santa Teresita Buenos Aires, Santa Teresita",-36.5416139,-56.6901985,other,,ziv
Criatura,"979 Calle 2 Santa Teresita Buenos Aires, B7107, Santa Teresita",-36.5402531,-56.6899196,other,,ziv
