name,address,latitude,longitude,games,cabs,game_counts,source
(装修中）玩家来也（全运路万达店）,全运路万达3F,41.6825620,123.4541470,maimai_dx;other,,,bemanicn
1-7PLAY(西美花街店),红旗大街西美·花街生活工场4楼,37.9931183,114.4542847,other;taiko,,taiko:1,bemanicn;nearcade
1-7play一起玩嘉年华,怀仁市新天地购物广场5楼,39.8248267,113.0962214,taiko,,taiko:1,bemanicn;nearcade
1-7PLAY一起玩嘉年华(沧州一首诗生活中心店),沧州市运河区黄河西路与开元南大道交叉口荣盛国际购物广场F2,38.2899198,116.8115211,maimai_dx,,maimai_dx:1,bemanicn;nearcade
1-7PLAY一起玩嘉年华(石家庄新利广场店),河北省石家庄市桥西区红旗街道尹泰家园(东区)新利广场2楼,37.9812337,114.4583553,maimai_dx;taiko,,maimai_dx:1;taiko:1,nearcade
1-7play一起玩家庭娱乐中心（天津东丽万达店）,东丽万达广场①入口3楼直达,39.0793730,117.3218770,maimai_dx;other,,maimai_dx:1,bemanicn;ziv;nearcade
1-7PLAY一起玩滁州苏宁广场店（原风云再起）,天长西路54号苏宁广场负一层,32.3053288,118.3063766,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn;nearcade
1-7PLAY唐山世界城店,河北省唐山市开平区中骏世界城二层1-7PLAY家庭娱乐中心,39.6760570,118.2471400,maimai_dx,,,wahlap
1-7PLAY家庭娱乐中心(中骏世界城店),普光道北侧规划新开路西侧中骏世界城(唐山店)二层西南角,39.6758811,118.2470682,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn;nearcade
1-7PLAY家庭娱乐中心（雄安奥特莱斯店）,县容东双文街118号雄安奥特莱斯A301,39.0618229,115.9318155,taiko,,taiko:1,bemanicn;nearcade
1-7play沧州一首诗中心店,河北省沧州市一首诗艺术生活中心二楼,38.2889310,116.8112870,maimai_dx,,,wahlap
1-7play电玩天津东丽万达店,天津市东丽区先锋东路6号万达广场(东丽店)3楼1-7play一起玩嘉年华电玩城（东丽万达店）,39.0797170,117.3201850,maimai_dx,,,wahlap
101潮玩中心,湖光路101号101聚厂B栋1楼101潮玩中心,24.4814878,118.1083087,maimai_dx;other,,maimai_dx:1,bemanicn;nearcade;wahlap
11Lab超乐场天津东丽店,天津市东丽区环河北路168号SM天津滨海城市广场一楼11Lab超乐场,39.1566230,117.4124470,maimai_dx;other;taiko;chunithm,,maimai_dx:1;taiko:1,wahlap;bemanicn;ziv;nearcade
1号机长,海安中央广场,32.5408647,120.4579076,maimai_dx;other,,maimai_dx:1,bemanicn;nearcade;wahlap
1号机长(凯德壹店),湖南省长沙市岳麓区茶子山东路112号(茶子山地铁站4号口步行320米)凯德壹中心,28.2454260,112.9508148,maimai_dx,,maimai_dx:1,bemanicn;nearcade;wahlap
1号机长化州万达店,万达广场(茂名化州店)三楼,21.6501169,110.6047381,maimai_dx,,maimai_dx:1,bemanicn;nearcade
1号机长合肥瑶海天地店,安徽省合肥市瑶海区瑶海天地3楼,31.8693168,117.3315593,jubeat;maimai_dx,,jubeat:2;maimai_dx:2,wahlap;bemanicn;nearcade
1号机长合肥蜀山万象汇店,安徽省合肥市蜀山区南七街道合作化路与望江西路交口西南角合肥蜀山万象汇L0218N号,31.8317802,117.2452861,maimai_dx,,maimai_dx:1,wahlap;bemanicn;nearcade
1号机长常德安乡城市广场店,湖南省常德市安乡县深柳镇城市广场1楼,29.4127173,112.1651633,maimai_dx,,maimai_dx:1,wahlap;bemanicn;nearcade
1号机长常德武陵店,湖南省常德市武陵区武陵大道998号和瑞欢乐城3楼3030号,29.0684998,111.6897080,maimai_dx,,maimai_dx:1,wahlap;bemanicn;nearcade
1号机长常德鼎城吾悦广场店,湖南省常德市鼎城区玉霞街道常德吾悦广场3F一号机长,29.0240245,111.6770318,maimai_dx,,maimai_dx:1,wahlap;bemanicn;nearcade
1号机长超乐场常德澧县店,欢乐城22号入口下,29.6444480,111.7549823,maimai_dx,,maimai_dx:1,bemanicn;nearcade;wahlap
1号机长超乐场茂名化州店,广东省茂名市化州市万达广场三楼1号机长,21.6519160,110.6080870,maimai_dx,,,wahlap
1号机长超乐场西安未央西咸万象城店,西安市未央区三桥街道西咸万象城三楼一号机长,34.2922080,108.8245940,chunithm;maimai_dx;taiko,,,wahlap
1号机长超乐场（溆浦店）,溆浦县万达广场一号,27.9172335,110.5840553,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn;nearcade;wahlap
1号机长超乐场（随州吾悦广场店）,曾都区交通大道吾悦广场三楼,31.7396197,113.3705736,maimai_dx,,maimai_dx:1,bemanicn;nearcade;wahlap
1号机长（芜湖镜湖inPARK店）,中山路步行街48号inPARK4楼,31.3326940,118.3652920,maimai_dx,,maimai_dx:2,bemanicn;wahlap
1号玩家淄博淄川sm广场店,山东省淄博市淄川区sm广场二楼1号玩家,36.6435410,117.9565840,maimai_dx,,,wahlap
1号街区,沱江镇汇金国际,25.1880881,111.5703340,maimai_dx;other,,,bemanicn;nearcade
1号赢家,人民路与汤王大道交汇处,33.5400971,115.7875274,maimai_dx,,maimai_dx:2,bemanicn;nearcade
1号赢家亳州谯城万达店,安徽省亳州市谯城区万达广场2F-6,33.8749630,115.7593370,maimai_dx,,,wahlap
303lab家庭娱乐中心,天津市天津市宁河区商业道60号百荣商厦三层303303lab家庭游乐中心,39.3246550,117.8225490,maimai_dx,,maimai_dx:1,bemanicn;ziv;nearcade
365PLAY潮玩,昆仑南道与北站西路交叉口东北角 任丘市万达广场,38.6844101,116.0828645,maimai_dx,,maimai_dx:1,bemanicn;nearcade
365PLAY潮玩沧州任丘万达店,河北省沧州市任丘市万达广场二楼365PLAY潮玩,38.6845090,116.0830150,maimai_dx,,,wahlap
37度家庭娱乐中心搜购店,和平路路南搜购购物中心2层,36.6036188,114.4804422,maimai_dx,,maimai_dx:1,bemanicn;nearcade
37度邯郸和平店,河北省邯郸市邯山区和平路搜购购物广场二楼,36.6035150,114.4804050,maimai_dx,,,wahlap
50动漫游艺空间,盛京大家庭广场区四层,41.7990026,123.4498840,maimai_dx,,maimai_dx:1,bemanicn;nearcade
51区动漫游乐天津西青店,天津市西青区中北镇阜盛道永旺梦乐城2楼51区动漫游乐场,39.1421980,117.0849370,chunithm;maimai_dx,,,wahlap
51区动漫游戏主题乐园,"白云区云霄路353号5号停机坪购物广场F3 Guangzhou Shi Guangdong Sheng, 510000, Guangzhou Shi",23.1814473,113.2658819,maimai_dx;other,,,ziv
51区南京浦口天悦城店,江苏省南京市浦口区沿江街道百润路9号天悦城2楼 51区超级乐园,32.1537000,118.7283610,maimai_dx,,,wahlap
51区天津南开大悦城店,天津市南开区南门外大街南开大悦城3f51区超级乐园,39.1335580,117.1737690,maimai_dx,,,wahlap
51区天津南开熙悦汇店,天津市南开区熙悦汇购物中心3F 51区超级乐园,39.1364530,117.1181320,maimai_dx,,,wahlap
51区天津市西青区社会山店,天津市西青区张家窝镇知景道321号社会山广场2层51区超级乐园,39.0510300,117.0438260,maimai_dx,,,wahlap
51区天津西青枫雅印象城店,张家窝镇枫雅道198号天津枫雅印象城购物中心F2层,39.0530869,117.0225498,maimai_dx;taiko,,maimai_dx:1;taiko:1,bemanicn;nearcade;wahlap
51区家庭娱乐中心黄岛店,漓江西路1669号东馆3F,35.9317050,120.1592042,maimai_dx;other;taiko,,maimai_dx:1;taiko:1,bemanicn;nearcade
51区滨湖江南大悦城店,江苏省无锡市滨湖区江南大悦城二楼51区超级乐园,31.4967740,120.2704880,chunithm,,,wahlap
51区超级乐园 AREA-51 SUPER PARK (天津津南店),"3F, Building 1, Shente Plaza, AEON Mall, Xinzhuang Town Jinnan District Tianjin Tianjin, 300350, Tianjin",39.0262676,117.3353740,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,ziv
51区超级乐园 AREA-51 SUPER PARK (枫雅印象城购物中心),"2F, Fengya Impression City, No.198 Fengya Road Xiqing District Tianjin Tianjin, 300800, Tianjin",39.0533490,117.0229700,maimai_dx;other;taiko,,,ziv
51区超级乐园 AREA-51 · solo park,"3F, Joy City Shopping Center, No.2 Nanmenwai Street Nankai District Tianjin Tianjin, 300100, Tianjin",39.1330950,117.1739410,chunithm;maimai_dx;other;taiko,,chunithm:2;maimai_dx:2;taiko:1,ziv
51区超级乐园 天悦城店,江苏省南京市浦口区沿江街道百润路9号天悦城二层,32.1538226,118.7279637,chunithm;maimai_dx;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn;nearcade
51区超级乐园(新城市广场店),鼓楼区草场门大街99号新城市广场,32.0594766,118.7359536,maimai_dx;other;taiko,,maimai_dx:2;taiko:1,bemanicn;nearcade
51区超级乐园·solo park,南门外大街2号天津大悦城购物中心3楼,39.1353280,117.1736276,chunithm;maimai_dx;other;taiko,,chunithm:2;maimai_dx:2;taiko:1,bemanicn;nearcade
51区超级乐园南京鼓楼店,江苏省南京市鼓楼区草场门大街99号龙江新城市广场一期第三层A305号（51区超级乐园）,32.0573460,118.7358760,maimai_dx,,,wahlap
